marks,attendance,study_hours,assignments_score,sleep_hours,action
58,63,2,52,6,Practice More
67,70,3,60,7,Practice More
75,78,3,68,7,Do Advanced Questions
83,85,4,75,8,Maintain Performance
91,92,5,85,8,Maintain Performance
32,40,1,28,5,Focus on Weak Topics
45,52,2,40,6,Revise Basics
54,60,2,50,6,Practice More
63,68,3,58,7,Practice More
71,75,3,65,7,Do Advanced Questions
79,80,4,72,7,Maintain Performance
87,88,4,78,8,Maintain Performance
94,95,5,90,8,Maintain Performance
